Назив,Белешка,URL адреса,Ознаке,Коментар
,,,,
YAKITORI Torikizoku Shibuya Center-Gai Store,,https://www.google.com/maps/place/YAKITORI+Torikizoku+Shibuya+Center-Gai+Store/data=!4m2!3m1!1s0x60188ca84b0da8d5:0x1341e35bc86a1309,,
YAKITORI Torikizoku Shibuya Koen Dori Store,,https://www.google.com/maps/place/YAKITORI+Torikizoku+Shibuya+Koen+Dori+Store/data=!4m2!3m1!1s0x60188ca876c51e59:0x3186fcfb61190598,,
鳥貴族 千葉駅西口店,,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E5%8D%83%E8%91%89%E9%A7%85%E8%A5%BF%E5%8F%A3%E5%BA%97/data=!4m2!3m1!1s0x602285e49dc63875:0x12a795d0c8e09000,,
鳥貴族 京成千葉中央店,,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E4%BA%AC%E6%88%90%E5%8D%83%E8%91%89%E4%B8%AD%E5%A4%AE%E5%BA%97/data=!4m2!3m1!1s0x602284b4702c9a7d:0x8cff7206414cf295,,
鳥貴族 千葉駅前店,,https://www.google.com/maps/place/%E9%B3%A5%E8%B2%B4%E6%97%8F+%E5%8D%83%E8%91%89%E9%A7%85%E5%89%8D%E5%BA%97/data=!4m2!3m1!1s0x602284b739830359:0x67d47390c10c6253,,
Chibashihonchiba Park,,https://www.google.com/maps/place/Chibashihonchiba+Park/data=!4m2!3m1!1s0x60229b4a7d4b0f49:0x2f08d3e919def1fc,,
Chiba City Chuo Park,,https://www.google.com/maps/place/Chiba+City+Chuo+Park/data=!4m2!3m1!1s0x602284b5ef4dbed7:0x2059efe3d912e315,,
Honcho Park,,https://www.google.com/maps/place/Honcho+Park/data=!4m2!3m1!1s0x60229b337edf3a4d:0x66933207788b9612,,
Hotaru Park,,https://www.google.com/maps/place/Hotaru+Park/data=!4m2!3m1!1s0x60192029e8401fad:0x3a34b202625c3d8d,,
Mutsumibashi,,https://www.google.com/maps/place/Mutsumibashi/data=!4m2!3m1!1s0x60191f0046848aef:0x853dff964f0916e,,
Myojinshita Park,,https://www.google.com/maps/place/Myojinshita+Park/data=!4m2!3m1!1s0x60191f846579d7ff:0x4b52134650b0afc4,,
Mizukuraido Park,,https://www.google.com/maps/place/Mizukuraido+Park/data=!4m2!3m1!1s0x60191f8e80f1cde3:0x7afbd2d9f9ee5070,,
IKE·SUNPARK (Toshima Green Disaster Prevention Park),,https://www.google.com/maps/place/IKE%C2%B7SUNPARK+(Toshima+Green+Disaster+Prevention+Park)/data=!4m2!3m1!1s0x60188d9ab3832a43:0xf2a1fdd604d3ee34,,
Honmyoji,,https://www.google.com/maps/place/Honmyoji/data=!4m2!3m1!1s0x60188d8304fcbb61:0xe86c7601a51c903b,,
Sugamo Jizodori Shopping Street Promotion Associate,,https://www.google.com/maps/place/Sugamo+Jizodori+Shopping+Street+Promotion+Associate/data=!4m2!3m1!1s0x60188d9d30e9ad55:0x3873040671b2a63b,,
Otsukatenso Shrine,,https://www.google.com/maps/place/Otsukatenso+Shrine/data=!4m2!3m1!1s0x60188d76a42eaaab:0x6c2b3dc6fc16a35,,
Sunmall Ōtsuka,,https://www.google.com/maps/place/Sunmall+%C5%8Ctsuka/data=!4m2!3m1!1s0x60188d06283d54a3:0x900c3aa3d6c997ff,,
Ōme-Kaidō Station,,https://www.google.com/maps/place/%C5%8Cme-Kaid%C5%8D+Station/data=!4m2!3m1!1s0x6018e6920de8a4c9:0xccb5f70cb813c91b,,
Akihabara Radio Kaikan,,https://www.google.com/maps/place/Akihabara+Radio+Kaikan/data=!4m2!3m1!1s0x60188eac7580ffff:0x30cd29f7c28f41e8,,
Go Go Curry Shinjuku East Exit Station Front Shop,,https://www.google.com/maps/place/Go+Go+Curry+Shinjuku+East+Exit+Station+Front+Shop/data=!4m2!3m1!1s0x60188cd9f70932a7:0x24fb783dbeebc83b,,
Go Go Curry Ueno Okachimachi Shop,,https://www.google.com/maps/place/Go+Go+Curry+Ueno+Okachimachi+Shop/data=!4m2!3m1!1s0x60188e9f788b12a3:0xb110d10931f7d904,,
Go Go Curry Akihabara Chuo Dori Shop,,https://www.google.com/maps/place/Go+Go+Curry+Akihabara+Chuo+Dori+Shop/data=!4m2!3m1!1s0x60188c1da79922c5:0x259c606e3cf9baca,,
Love Merci,,https://www.google.com/maps/place/Love+Merci/data=!4m2!3m1!1s0x60188c1d17f637eb:0x46945e1517d4fb64,,
HEY (Hirose Entertainment Yard) Taito,,https://www.google.com/maps/place/HEY+(Hirose+Entertainment+Yard)+Taito/data=!4m2!3m1!1s0x60188c1d0fa74495:0x5d25013b2f9319a4,,
TRADER Headquarters,,https://www.google.com/maps/place/TRADER+Headquarters/data=!4m2!3m1!1s0x60188c1dc59fff41:0xf44917d603081bf7,,
Mandarake Complex,,https://www.google.com/maps/place/Mandarake+Complex/data=!4m2!3m1!1s0x60188c1db588759b:0x8c537b9b72799bd3,,
Super Potato Akihabara Branch,,https://www.google.com/maps/place/Super+Potato+Akihabara+Branch/data=!4m2!3m1!1s0x60188ea71e6e4271:0x69b7235237e2ee77,,
Trader2,,https://www.google.com/maps/place/Trader2/data=!4m2!3m1!1s0x60188c1cfcf6ade7:0xd9fcac2ce87d746d,,
EXBAR TOKYO plus Akihabara,,https://www.google.com/maps/place/EXBAR+TOKYO+plus+Akihabara/data=!4m2!3m1!1s0x60188f3ff6b08e79:0xeb849c24346ff7fb,,
Nachikatsuura,,https://www.google.com/maps/place/Nachikatsuura/data=!4m2!3m1!1s0x60063e49842b1ded:0x53d01533e0ed16f8,,
Minamiuonuma,,https://www.google.com/maps/place/Minamiuonuma/data=!4m2!3m1!1s0x5ff5f5d36b86fffd:0x2eafad4e6e3e414d,,
Minamisanriku,,https://www.google.com/maps/place/Minamisanriku/data=!4m2!3m1!1s0x5f88fecabae6a245:0xb7b1ed71de1c7b71,,
Toyako Onsen 100th Anniversary Monument,,https://www.google.com/maps/place/Toyako+Onsen+100th+Anniversary+Monument/data=!4m2!3m1!1s0x5f9fe3c61f65cf6d:0xaf4d8faa86766f4d,,
Takayu Onsen Kagetsu Highland Hotel,,https://www.google.com/maps/place/Takayu+Onsen+Kagetsu+Highland+Hotel/data=!4m2!3m1!1s0x60188ca8f486a615:0x102d3fb7b4586562,,
Minamiiri Park,,https://www.google.com/maps/place/Minamiiri+Park/data=!4m2!3m1!1s0x6018ef329093f933:0xa6af82d9cad95f97,,
Bunridai Park,,https://www.google.com/maps/place/Bunridai+Park/data=!4m2!3m1!1s0x6018ef2ef1465fd7:0xe83cf19fb50c6b4b,,
Shakujii Hikawa Shrine,,https://www.google.com/maps/place/Shakujii+Hikawa+Shrine/data=!4m2!3m1!1s0x6018ee8e273cb9a9:0x61aad018bbd204c2,,
